Thu Feb  4 04:29:07 2021
rule_repository_top_k.size(): 30
(height,whole,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 44 | whole_conf: 0.983168 | Asupp: 3
(height,whucked,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 22 | whole_conf: 0.982650 | Asupp: 2
(length,viscera,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 22 | whole_conf: 0.982650 | Asupp: 2
(length,whucked,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 22 | whole_conf: 0.982650 | Asupp: 2
(length,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 22 | whole_conf: 0.982650 | Asupp: 2
(height,whucked,rings=9,)=>diameter | whole_supp: 1378 | whole_vio: 26 | whole_conf: 0.981132 | Asupp: 3
(height,whucked,rings=9,)=>length | whole_supp: 1378 | whole_vio: 26 | whole_conf: 0.981132 | Asupp: 3
(diameter,height,viscera,)=>whole | whole_supp: 8354 | whole_vio: 162 | whole_conf: 0.980608 | Asupp: 10
(diameter,viscera,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 26 | whole_conf: 0.979495 | Asupp: 2
(height,whucked,rings=9,)=>whole | whole_supp: 1378 | whole_vio: 30 | whole_conf: 0.978229 | Asupp: 3
(length,viscera,rings=9,)=>sex | whole_supp: 1378 | whole_vio: 30 | whole_conf: 0.978229 | Asupp: 3
(length,height,shell,)=>sex | whole_supp: 8354 | whole_vio: 184 | whole_conf: 0.977975 | Asupp: 10
(diameter,whucked,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 28 | whole_conf: 0.977918 | Asupp: 3
(whucked,shell,sex=I,)=>viscera | whole_supp: 2684 | whole_vio: 62 | whole_conf: 0.976900 | Asupp: 6
(diameter,viscera,rings=9,)=>sex | whole_supp: 1378 | whole_vio: 32 | whole_conf: 0.976778 | Asupp: 3
(length,shell,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 34 | whole_conf: 0.973186 | Asupp: 2
(whole,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 84 | whole_conf: 0.972513 | Asupp: 4
(whole,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 74 | whole_conf: 0.971691 | Asupp: 3
(length,viscera,rings=9,)=>diameter | whole_supp: 1378 | whole_vio: 40 | whole_conf: 0.970972 | Asupp: 3
(diameter,viscera,rings=10,)=>length | whole_supp: 1268 | whole_vio: 38 | whole_conf: 0.970032 | Asupp: 2
(length,viscera,rings=9,)=>whole | whole_supp: 1378 | whole_vio: 42 | whole_conf: 0.969521 | Asupp: 3
(length,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 82 | whole_conf: 0.968630 | Asupp: 3
(diameter,viscera,rings=9,)=>length | whole_supp: 1378 | whole_vio: 44 | whole_conf: 0.968070 | Asupp: 3
(length,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 84 | whole_conf: 0.967865 | Asupp: 3
(whole,rings,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 100 | whole_conf: 0.967277 | Asupp: 3
(diameter,shell,rings=11,)=>sex | whole_supp: 974 | whole_vio: 32 | whole_conf: 0.967146 | Asupp: 2
(diameter,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 42 | whole_conf: 0.966877 | Asupp: 2
(whole,rings,sex=M,)=>viscera | whole_supp: 3056 | whole_vio: 102 | whole_conf: 0.966623 | Asupp: 3
(diameter,viscera,rings=9,)=>whucked | whole_supp: 1378 | whole_vio: 46 | whole_conf: 0.966618 | Asupp: 3
(diameter,viscera,rings=9,)=>whole | whole_supp: 1378 | whole_vio: 46 | whole_conf: 0.966618 | Asupp: 3
(length,shell,rings=11,)=>sex | whole_supp: 974 | whole_vio: 34 | whole_conf: 0.965092 | Asupp: 2
(viscera,shell,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 96 | whole_conf: 0.964233 | Asupp: 6
(diameter,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 94 | whole_conf: 0.964040 | Asupp: 3
(sex,whole,rings=11,)=>shell | whole_supp: 974 | whole_vio: 36 | whole_conf: 0.963039 | Asupp: 2
(diameter,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 104 | whole_conf: 0.960214 | Asupp: 3
(length,diameter,shell,)=>rings | whole_supp: 8354 | whole_vio: 338 | whole_conf: 0.959540 | Asupp: 10
(height,whole,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 110 | whole_conf: 0.959016 | Asupp: 5
(sex,whole,rings=10,)=>height | whole_supp: 1268 | whole_vio: 52 | whole_conf: 0.958991 | Asupp: 2
(length,height,shell,)=>whole | whole_supp: 8354 | whole_vio: 346 | whole_conf: 0.958583 | Asupp: 10
(length,height,shell,)=>whucked | whole_supp: 8354 | whole_vio: 350 | whole_conf: 0.958104 | Asupp: 10
(diameter,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 114 | whole_conf: 0.956389 | Asupp: 3
(sex,height,whucked,)=>rings | whole_supp: 8354 | whole_vio: 368 | whole_conf: 0.955949 | Asupp: 10
(height,whucked,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 140 | whole_conf: 0.954188 | Asupp: 3
(sex,whole,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 60 | whole_conf: 0.952681 | Asupp: 2
(sex,whole,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 60 | whole_conf: 0.952681 | Asupp: 2
(whucked,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 146 | whole_conf: 0.952225 | Asupp: 3
(diameter,viscera,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 146 | whole_conf: 0.952225 | Asupp: 3
(length,diameter,shell,)=>height | whole_supp: 8354 | whole_vio: 402 | whole_conf: 0.951879 | Asupp: 10
(diameter,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 150 | whole_conf: 0.950916 | Asupp: 3
(diameter,shell,rings=11,)=>length | whole_supp: 974 | whole_vio: 48 | whole_conf: 0.950719 | Asupp: 2
(length,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 152 | whole_conf: 0.950262 | Asupp: 3
