Thu Feb  4 05:19:43 2021
rule_repository_top_k.size(): 30
(sex,length,whucked,)=>height | whole_supp: 8354 | whole_vio: 236 | whole_conf: 0.971750 | Asupp: 10
(diameter,height,shell,)=>sex | whole_supp: 8354 | whole_vio: 254 | whole_conf: 0.969595 | Asupp: 9
(diameter,whole,sex=I,)=>height | whole_supp: 2684 | whole_vio: 84 | whole_conf: 0.968703 | Asupp: 6
(length,whole,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 84 | whole_conf: 0.968703 | Asupp: 6
(length,shell,rings,)=>sex | whole_supp: 8354 | whole_vio: 264 | whole_conf: 0.968398 | Asupp: 10
(length,shell,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 36 | whole_conf: 0.968310 | Asupp: 2
(diameter,viscera,rings=8,)=>height | whole_supp: 1136 | whole_vio: 40 | whole_conf: 0.964789 | Asupp: 2
(sex,diameter,whucked,)=>height | whole_supp: 8354 | whole_vio: 298 | whole_conf: 0.964328 | Asupp: 10
(diameter,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 94 | whole_conf: 0.964040 | Asupp: 3
(length,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 98 | whole_conf: 0.963487 | Asupp: 6
(diameter,viscera,rings=8,)=>shell | whole_supp: 1136 | whole_vio: 44 | whole_conf: 0.961268 | Asupp: 2
(diameter,whole,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 106 | whole_conf: 0.960507 | Asupp: 6
(diameter,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 104 | whole_conf: 0.960214 | Asupp: 3
(diameter,viscera,rings=8,)=>whole | whole_supp: 1136 | whole_vio: 46 | whole_conf: 0.959507 | Asupp: 2
(height,whucked,rings=8,)=>length | whole_supp: 1136 | whole_vio: 48 | whole_conf: 0.957747 | Asupp: 2
(diameter,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 114 | whole_conf: 0.956389 | Asupp: 3
(diameter,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 118 | whole_conf: 0.956036 | Asupp: 6
(diameter,viscera,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 116 | whole_conf: 0.955624 | Asupp: 3
(length,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 122 | whole_conf: 0.954545 | Asupp: 6
(diameter,height,shell,)=>rings | whole_supp: 8354 | whole_vio: 388 | whole_conf: 0.953555 | Asupp: 9
(sex,length,viscera,)=>rings | whole_supp: 8354 | whole_vio: 424 | whole_conf: 0.949246 | Asupp: 9
(sex,whucked,rings=11,)=>diameter | whole_supp: 974 | whole_vio: 50 | whole_conf: 0.948665 | Asupp: 2
(sex,length,viscera,)=>height | whole_supp: 8354 | whole_vio: 444 | whole_conf: 0.946852 | Asupp: 9
(diameter,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 148 | whole_conf: 0.944858 | Asupp: 6
(diameter,height,shell,)=>whucked | whole_supp: 8354 | whole_vio: 488 | whole_conf: 0.941585 | Asupp: 10
(whucked,rings,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 156 | whole_conf: 0.940321 | Asupp: 4
(sex,length,viscera,)=>shell | whole_supp: 8354 | whole_vio: 510 | whole_conf: 0.938951 | Asupp: 9
(sex,length,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 518 | whole_conf: 0.937994 | Asupp: 9
(diameter,shell,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 72 | whole_conf: 0.936620 | Asupp: 2
(sex,diameter,viscera,)=>whole | whole_supp: 8354 | whole_vio: 586 | whole_conf: 0.929854 | Asupp: 9
(height,viscera,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 188 | whole_conf: 0.928080 | Asupp: 3
(length,viscera,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 200 | whole_conf: 0.925484 | Asupp: 5
(diameter,shell,rings,)=>height | whole_supp: 8354 | whole_vio: 624 | whole_conf: 0.925305 | Asupp: 9
(height,whucked,sex=I,)=>length | whole_supp: 2684 | whole_vio: 206 | whole_conf: 0.923249 | Asupp: 6
(length,viscera,sex=I,)=>height | whole_supp: 2684 | whole_vio: 210 | whole_conf: 0.921759 | Asupp: 5
(diameter,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 712 | whole_conf: 0.914771 | Asupp: 9
(diameter,viscera,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 238 | whole_conf: 0.911326 | Asupp: 5
(length,viscera,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 256 | whole_conf: 0.904620 | Asupp: 5
(viscera,rings,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 256 | whole_conf: 0.902066 | Asupp: 3
(length,shell,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 260 | whole_conf: 0.900536 | Asupp: 3
(diameter,whucked,shell,)=>length | whole_supp: 8354 | whole_vio: 36 | whole_conf: 0.995691 | Asupp: 10
(length,diameter,viscera,)=>sex | whole_supp: 8354 | whole_vio: 68 | whole_conf: 0.991860 | Asupp: 10
(length,height,whucked,)=>diameter | whole_supp: 8354 | whole_vio: 70 | whole_conf: 0.991621 | Asupp: 11
(diameter,whucked,rings,)=>length | whole_supp: 8354 | whole_vio: 114 | whole_conf: 0.986354 | Asupp: 12
(length,diameter,viscera,)=>rings | whole_supp: 8354 | whole_vio: 128 | whole_conf: 0.984678 | Asupp: 10
(length,diameter,viscera,)=>height | whole_supp: 8354 | whole_vio: 140 | whole_conf: 0.983242 | Asupp: 10
(length,diameter,viscera,)=>shell | whole_supp: 8354 | whole_vio: 150 | whole_conf: 0.982045 | Asupp: 10
(length,diameter,viscera,)=>whole | whole_supp: 8354 | whole_vio: 152 | whole_conf: 0.981805 | Asupp: 10
(length,viscera,rings=8,)=>diameter | whole_supp: 1136 | whole_vio: 22 | whole_conf: 0.980634 | Asupp: 2
(diameter,viscera,rings=8,)=>length | whole_supp: 1136 | whole_vio: 38 | whole_conf: 0.966549 | Asupp: 2
(length,whucked,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 108 | whole_conf: 0.959762 | Asupp: 6
(length,shell,rings=8,)=>diameter | whole_supp: 1136 | whole_vio: 66 | whole_conf: 0.941901 | Asupp: 2
(diameter,shell,rings,)=>length | whole_supp: 8354 | whole_vio: 618 | whole_conf: 0.926023 | Asupp: 9
(height,whole,viscera,rings,)=>whucked | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(height,whole,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(sex,height,whucked,rings,)=>whole | whole_supp: 8354 | whole_vio: 104 | whole_conf: 0.987551 | Asupp: 10
(length,height,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 76 | whole_conf: 0.990903 | Asupp: 10
(sex,height,shell,rings=8,)=>length | whole_supp: 1136 | whole_vio: 76 | whole_conf: 0.933099 | Asupp: 2
(sex,length,height,whole,)=>diameter | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 10


