Thu Feb  4 04:42:13 2021
rule_repository_top_k.size(): 30
(whucked,rings,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 172 | whole_conf: 0.934200 | Asupp: 3
(whole,rings,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 204 | whole_conf: 0.923994 | Asupp: 6
(height,viscera,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 200 | whole_conf: 0.923489 | Asupp: 3
(height,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 200 | whole_conf: 0.923489 | Asupp: 3
(height,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 218 | whole_conf: 0.918778 | Asupp: 6
(sex,whucked,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 104 | whole_conf: 0.917981 | Asupp: 2
(height,viscera,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 252 | whole_conf: 0.917539 | Asupp: 2
(sex,whucked,rings,)=>whole | whole_supp: 8354 | whole_vio: 756 | whole_conf: 0.909504 | Asupp: 10
(height,viscera,sex=M,)=>whole | whole_supp: 3056 | whole_vio: 286 | whole_conf: 0.906414 | Asupp: 2
(length,whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(diameter,whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 15
(length,whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 12
(length,whole,whucked,)=>shell | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(whole,viscera,rings,)=>length | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(length,whucked,viscera,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(length,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(length,whucked,viscera,)=>whole | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 12
(diameter,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 11
(length,whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(height,whucked,viscera,)=>length | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(length,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(diameter,whole,shell,)=>height | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(sex,whole,whucked,)=>length | whole_supp: 8354 | whole_vio: 16 | whole_conf: 0.998085 | Asupp: 10
(length,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 10
(length,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(sex,whole,viscera,)=>length | whole_supp: 8354 | whole_vio: 22 | whole_conf: 0.997367 | Asupp: 10
(length,viscera,shell,)=>whole | whole_supp: 8354 | whole_vio: 24 | whole_conf: 0.997127 | Asupp: 10
(diameter,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
